relation	predicate	count
BSPO:0000097	biolink:related_to	1
BSPO:0000098	biolink:related_to	1
BSPO:0000099	biolink:related_to	1
BSPO:0000104	biolink:related_to	1
BSPO:0000107	biolink:related_to	1
BSPO:0000110	biolink:related_to	1
BSPO:0000113	biolink:related_to	4
BSPO:0001102	biolink:related_to	2
BSPO:0015001	biolink:related_to	7
BSPO:0015002	biolink:related_to	4
BSPO:0015003	biolink:related_to	6
BSPO:0015005	biolink:related_to	4
BSPO:0015006	biolink:related_to	1
BSPO:0015007	biolink:related_to	7
BSPO:0015008	biolink:related_to	12
RO:0002131	biolink:related_to	77
inverseOf	biolink:inverseOf	33
rdfs:subClassOf	biolink:subclass_of	235
subPropertyOf	biolink:subPropertyOf	158
type	biolink:type	18
